,beta0,beta1,beta2,beta3,tau1,tau2
2022-10-25,-0.748205645967181,0.30094486438437507,-2.8453601190644346,3.6686525061848068,0.8417206489072219,14.271019768991186
2022-10-26,-0.7198328586668362,0.2426372591729001,-2.613009780759992,3.696896453185463,0.8812970302020227,15.047364993571474
2022-10-27,-0.47976327651842976,-0.20037517687563242,-2.5988611889971707,3.2056536936847575,1.0778211600610066,14.946878433003729
2022-10-28,-0.5647629560273931,-0.11624087165111965,-2.7679830032667843,3.1203874033126118,1.035881080471463,15.130035073148047
2022-10-31,-0.5851068008257556,-0.0290735720424267,-2.5775023392076295,3.5198393533715406,1.0481726573775463,15.820183131528117
2022-11-01,-0.4893367992720632,-0.22356421586319253,-2.7613334554874402,3.0754655676792737,1.1473352390296698,14.271938089548385
2022-11-02,-0.25138680231272376,-0.6519865902015083,-2.8401969816855184,2.706980368640017,1.4556321991245316,12.241358215798265
2022-11-03,-0.7603531082138889,0.13847677553187981,-2.896398969657705,3.895345557568121,1.0488202705359342,14.678580306356455
2022-11-04,-0.663809590461375,0.03600716140273779,-2.830683652339726,3.7679905534333917,1.1440842878751767,14.098008076371068
2022-11-07,-0.5468557365591525,0.1905484577282874,-2.885053849140726,3.3375952781759137,1.1150091033961829,14.44017319517989
2022-11-08,-0.40680768743645435,0.08352290515299073,-3.095691188849809,3.0222855745247026,1.205611691176915,13.745325170445899
2022-11-09,-0.3333754734815062,0.07876706072649536,-3.4184294081195623,2.8029000235387587,1.114138521656856,12.87315411720659
2022-11-10,-0.505535087541361,0.10520875813796957,-2.884488173522496,3.1221289276481397,1.0609569694567784,13.085408726511305
2022-11-11,-0.5128167512341965,0.026305282961437384,-2.5958502161450774,3.2817482223306538,1.1538108911833265,12.865695097422885
2022-11-14,-0.6549558360983861,0.32794900221473594,-2.739259299932709,3.6450129042623978,0.9835713371862685,13.476080902708457
2022-11-15,-0.8169091621822453,0.5356376803962907,-2.5909429741809835,4.272159905124659,0.8973341721045646,13.70421704774092
2022-11-16,-0.9307561604607517,0.734989783951511,-2.8043133152367545,4.511198218359269,0.7836415134155129,13.720687492481721
2022-11-17,-0.9011326232520991,0.7465707719851129,-2.872647439813416,4.477395370452093,0.7971570717372577,14.082014344996338
2022-11-18,-0.8183818787963987,0.3708662191306204,-2.506521729055328,4.2694215171244005,1.060921859855784,13.536691788743065
2022-11-21,-0.8960901994591631,0.5145182717615909,-2.407282093259921,4.430128944357275,1.0302114121037078,14.013609578052643
2022-11-22,-0.8642821470156711,0.46447326910253045,-2.402533470175568,4.522600214291193,0.9737529593871088,14.649392385737457
2022-11-23,-0.9434555724524304,0.5535699904815222,-2.3704752813196657,4.717757894016333,0.8637934000080199,15.136000692835294
2022-11-24,-0.9768951955389844,0.5348052039942438,-2.244624485647753,4.84065658675373,0.9912339669426099,15.460761426242719
2022-11-25,-0.9608997469053514,0.4991195765533444,-1.9960482721679176,4.826215710126688,0.9533805966847589,15.604894201726081
2022-11-28,-0.9553077810955714,0.5224036430075134,-1.967746033654437,4.800442333531576,0.991981923175766,15.787622883910329
2022-11-29,-0.9795580899563375,0.4973916658183931,-1.8895630887086514,4.9183553875572565,0.8803434880872439,16.074190576340754
2022-11-30,-0.8982643027234314,0.42200650781366933,-1.9089591653343918,4.721893345929452,0.958013664979849,16.113266291516773
2022-12-01,-1.1863052248462886,0.7404894749778774,-1.2950787594795912,5.603789169925474,0.755424031013762,16.07264312849073
2022-12-02,-1.2818199613198769,0.8003677110544896,-0.8249968571187221,5.99013052121291,0.5789768584678249,16.039831850213584
2022-12-05,-1.256729473235373,0.9477436509671383,-1.3323180484380037,5.954693243768943,0.5829507119590065,15.663642504399116
2022-12-06,-1.198743236048621,0.9225470390220265,-1.6708602201714127,5.797890639354915,0.626461312434996,15.671092484874865
2022-12-07,-1.2620884043149525,0.9084941165035866,-1.423260488913739,6.043913503911264,0.6294216712268924,16.020134185421988
2022-12-08,-1.3931164113015677,1.0232352638670048,-0.7443246430997474,6.411930702942171,0.5000000000059945,16.590818923401955
2022-12-09,-1.36858727536462,0.8141106473970798,-0.2729683511852069,6.334407634736314,0.5000000001309312,16.548282688311374
2022-12-12,-1.3089022248209163,0.8116519258379764,-0.3891757072661136,6.335141740287462,0.5000000000011211,16.727725399921244
